*CS 6035: Introduction to Information Security
CS 6150: Computing for Good
*CS 6200: Introduction to Operating Systems (formerly CS 8803 O02)
*CS 6210: Advanced Operating Systems
*CS 6238: Secure Computer SystemsC
*CS 6250: Computer NetworksC
*CS 6260: Applied CryptographyC
*CS 6262: Network Security
*CS 6263: Intro to Cyber Physical Systems Security (formerly CS 8803 O07)
*CS 6264: Information Security Lab - System and Network DefensesC (formerly CS 8803 O11)
CS 6265: Information Security LabC
*CS 6290: High Performance Computer Architecture
*CS 6291: Embedded Systems Optimization (formerly CS 8803 O04)
*CS 6300: Software Development Process
*CS 6310: Software Architecture and Design
*CS 6340: Software Analysis
*CS 6400: Database Systems Concepts and Design
*CS 6440: Intro to Health Informatics
CS 6457: Video Game Design
*CS 6460: Educational Technology
*CS 6475: Computational Photography
*CS 6476: Computer Vision
*CS 6515: Intro to Graduate Algorithms (formerly CS 8803 GA)
*CS 6601: Artificial Intelligence
"*CS 6603: AI, Ethics, and Society (formerly CS 8803 O10)"
*CS 6675: Advanced Internet Systems and Applications
CS 6747: Advanced Malware AnalysisC
*CS 6750: Human-Computer Interaction
*CS 6795: Introduction to Cognitive Science
*CS 7210: Distributed Computing
*CS 7280: Network Science
CS 7470: Mobile & Ubiquitous Computing
*CS 7632: Game AI
*CS 7637: Knowledge-Based Artificial Intelligence - Cognitive Systems
*CS 7638: Artificial Intelligence for Robotics (formerly CS 8803 O01)
*CS 7639: Cyber-Physical Design and Analysis (formerly CS 8803 O09)
*CS 7641: Machine Learning
*CS 7642: Reinforcement Learning (formerly CS 8803 O03)
*CS 7643: Deep Learning
*CS 7646: Machine Learning for Trading
*CS 8803 O08: Compilers - Theory and Practice
*CS 8803 O12: Systems Issues in Cloud Computing
*CSE 6220: Intro to High-Performance Computing
*CSE 6242: Data and Visual AnalyticsA
*CSE 6250: Big Data for Health Informatics
"CSE 6742: Modeling, Simulation, and Military GamingC"
ECE 8843: Side-Channels and Their Role in CybersecurityC
INTA 6450: Data Analytics & SecurityC
ISYE 6402: Time Series AnalysisA
*ISYE 6420: Bayesian StatisticsA
ISYE 6501: Intro to Analytics ModelingA
ISYE 6644: Simulation and Modeling for Engineering and ScienceA
ISYE 6669: Deterministic OptimizationA (page coming soon!)
ISYE 8803: Topics on High-Dimensional Data AnalyticsA
MGT 6311: Digital MarketingA
PUBP 6725: Information Security PoliciesC
